PIPE_DESC,PIPE_INACT,PIPE_INA_1,COUNTY_NAM,NAME_1,LAT_DEC,LON_CONV
100TH STREET WEST,A,,COOK,CHICAGO CSOS,41.713611,-87.543333
122ND STREET EAST,A,,COOK,CHICAGO CSOS,41.6725,-87.553056
122ND STREET PUMP STATION,A,,COOK,MWRDGC CALUMET WRP,41.673889,-87.551667
130TH STREET EAST,A,,COOK,CHICAGO CSOS,41.659167,-87.618889
134TH STREET,A,,COOK,RIVERDALE CSOS,41.65,-87.623333
134TH STREET EAST,A,,COOK,CHICAGO CSOS,41.651944,-87.565278
138TH & ESCANABA,A,,COOK,BURNHAM CSOS,41.644444,-87.555556
138TH PLACE,A,,COOK,BURNHAM CSOS,41.644444,-87.55
13A PUMP STATION,A,,COOK,MWRDGC STICKNEY WRP,41.7975,-87.810833
142ND & MACKINAY,A,,COOK,BURNHAM CSOS,41.6375,-87.543056
144TH STREET,A,,COOK,HARVEY CSOS,41.629167,-87.65
147TH STREET,A,,COOK,HARVEY CSOS,41.622222,-87.627778
149TH STREET,A,,COOK,HARVEY CSOS,41.619444,-87.626389
14TH PLACE WEST,A,,COOK,CHICAGO CSOS,41.863056,-87.631944
14TH STREET EAST,A,,COOK,CHICAGO CSOS,41.863611,-87.631111
14TH STREET WEST,A,,COOK,CHICAGO CSOS,41.863611,-87.632222
151ST STREET,A,,COOK,PHOENIX CSOS,41.616667,-87.625
152ND STREET(EXTENDED),A,,COOK,SOUTH HOLLAND CSOS,41.619444,-87.622222
153RD ST & DEARBORN(EXT),A,,COOK,SOUTH HOLLAND CSOS,41.615278,-87.619444
15TH STREET EAST,A,,COOK,CHICAGO CSOS,41.861667,-87.631111
161ST STREET & DAMEN AVE,A,,COOK,MARKHAM CSOS,41.597222,-87.666667
16TH STREET EAST,A,,COOK,CHICAGO CSOS,41.86,-87.633056
16TH STREET WEST,A,,COOK,CHICAGO CSOS,41.86,-87.634444
18TH STREET EAST,A,,COOK,CHICAGO CSOS,41.8575,-87.634722
18TH STREET WEST,A,,COOK,CHICAGO CSOS,41.8575,-87.635833
19TH STREET EAST,A,,COOK,CHICAGO CSOS,41.856389,-87.635556
26TH ST E SIDE DES PLN RVR,A,,COOK,NORTH RIVERSIDE CSOS,41.8425,-87.828333
26TH ST W SIDE DES PLN RVR,A,,COOK,NORTH RIVERSIDE CSOS,41.8425,-87.829167
30TH STREET,A,,COOK,BROOKFIELD CSOS,41.836944,-87.8425
31ST STREET,A,,COOK,LAGRANGE PARK CSOS,41.835,-87.86
31ST STREET EAST,A,,COOK,CHICAGO CSOS,41.837778,-87.663333
35TH STREET EAST,A,,COOK,CHICAGO CSOS,41.830278,-87.656944
35TH STREET WEST,A,,COOK,CHICAGO CSOS,41.830278,-87.657778
37TH STREET EAST,A,,COOK,CHICAGO CSOS,41.826944,-87.656944
37TH STREET WEST,A,,COOK,CHICAGO CSOS,41.826944,-87.658056
38TH & RACINE AVENUE,A,,COOK,MWRDGC STICKNEY WRP,41.825556,-87.657778
40TH STREET,A,,COOK,LYONS CSOS,41.818611,-87.8125
47TH STREET,A,,COOK,LYONS CSOS,41.808333,-87.811111
49TH STREET,A,,COOK,WESTERN SPRINGS CSOS,41.823333,-87.905
49TH STREET & EAST AVENUE,A,,COOK,LAGRANGE CSOS,41.801667,-87.859167
57TH STREET,A,,COOK,SUMMIT CSOS,41.783611,-87.818889
67TH STREET,A,,COOK,MWRDGC STICKNEY WRP,41.770833,-87.836389
6872 TOUHY AVENUE,A,,COOK,NILES CSOS,42.013333,-87.791667
75TH STREET,A,,COOK,MWRDGC STICKNEY WRP,41.756944,-87.851111
"90"" TRTMNT PLT BYPASS",A,,DU PAGE,GLENBARD WW AUTH-LOMBARD,41.881667,-88.036667
92ND STREET WEST,A,,COOK,CHICAGO CSOS,41.727778,-87.541944
94TH PLACE (95TH ST PS),A,,COOK,MWRDGC CALUMET WRP,41.723889,-87.546389
94TH PLACE WEST,A,,COOK,CHICAGO CSOS,41.723889,-87.546389
