"Site name","Address","Phone","Program Name","Length of Day"
" Salvation Army - Temple / Salvation Army","1 N Ogden Ave ",2262649,"Child Care","EXTENDED DAY"
" Salvation Army - Temple / Salvation Army","1 N Ogden Ave ",2262649,"Child Care","EXTENDED DAY"
" National Louis University - Dr. Effie O. Ellis Training Center","10 S Kedzie Ave ",5339011,"Child Care","EXTENDED DAY"
" National Louis University - Dr. Effie O. Ellis Training Center","10 S Kedzie Ave ",5339011,"Child Care","EXTENDED DAY"
" Board Trustees-City Colleges of Chicago - Olive-Harvey College","10001 S Woodlawn Ave ",2916100,"Child Care","EXTENDED DAY"
" Board Trustees-City Colleges of Chicago - Olive-Harvey College","10001 S Woodlawn Ave ",2916100,"Child Care","EXTENDED DAY"
" Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman","1001 W Roosevelt Rd ",9395115,"Child Care","EXTENDED DAY"
" Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman","1001 W Roosevelt Rd ",9395115,"Child Care","EXTENDED DAY"
" Hull House Association - Uptown Head Start / Hull House","1020 W Bryn Mawr Ave ",7695753,"Child Care","EXTENDED DAY"
" Hull House Association - Child Dev. Central Office- Hull House CDS-Homes","1030 W Van Buren St ",9068600,"Child Care","EXTENDED DAY"
" Hull House Association - Child Dev. Central Office- Hull House CDS-Homes","1030 W Van Buren St ",9068600,"Child Care","EXTENDED DAY"
" Catholic Charities of the Archdiocese of Chicago - St. Kevin","10509 S Torrence Ave ",3746466,"Child Care","EXTENDED DAY"
" Catholic Charities of the Archdiocese of Chicago - St. Kevin","10509 S Torrence Ave ",3746466,"Child Care","EXTENDED DAY"
" Chicago State University - Community Learning Center","10612 S Wentworth ",,"Child Care","EXTENDED DAY"
" Catholic Charities of the Archdiocese of Chicago - Cordia Marian","1100 S May St ",6663787,"Child Care","EXTENDED DAY"
" Catholic Charities of the Archdiocese of Chicago - Cordia Marian","1100 S May St ",6663787,"Child Care","EXTENDED DAY"
" Thresholds - Thresholds Mothers' Project","1110 W Belmont Ave ",4723558,"Child Care","EXTENDED DAY"
" Bethel New Life - Molade Child Development Center","1120 N Lamon Ave ",6267760,"Child Care","EXTENDED DAY"
" South East Asia Center - South-East Asia Center(Ainslie)","1124 W Ainslie St ",9897433,"Child Care","EXTENDED DAY"
" Ada S. McKinley Community Services - McKinley - Roseland","11410 S Edbrooke Ave ",4681918,"Child Care","EXTENDED DAY"
" Ada S. McKinley Community Services - McKinley - Roseland","11410 S Edbrooke Ave ",4681918,"Child Care","EXTENDED DAY"
" Board Trustees-City Colleges of Chicago - Truman","1145 W Wilson Ave ",8781700,"Child Care","EXTENDED DAY"
" Chicago State University - Gingerbread House","11640 S Wentworth Ave ",9284041,"Child Care","EXTENDED DAY"
" Chicago State University - Gingerbread House","11640 S Wentworth Ave ",9284041,"Child Care","EXTENDED DAY"
" Chicago State University - Academy of Early Education","124 E 113th St ",7858163,"Child Care","EXTENDED DAY"
" Chicago State University - Academy of Early Education","124 E 113th St ",7858163,"Child Care","EXTENDED DAY"
" Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear","1300 E 75th St ",4930000,"Child Care","EXTENDED DAY"
" Marcy Newberry Association - FOSCO ABLA Center","1312 S Racine Ave ",7466024,"Child Care","EXTENDED DAY"
" Marcy Newberry Association - FOSCO ABLA Center","1312 S Racine Ave ",7466024,"Child Care","EXTENDED DAY"
" Salvation Army - Incarnation / Salvation Army","1345 N Karlov Ave ",2764118,"Child Care","EXTENDED DAY"
" Abraham Lincoln Centre - Hope Presbyterian Church","1354 W 61st St ",4715100,"Child Care","EXTENDED DAY"
" Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes","1449 S Keeler Ave ",5213126,"Child Care","EXTENDED DAY"
" Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes","1449 S Keeler Ave ",5213126,"Child Care","EXTENDED DAY"
" Lutheran Social Services of Illinois - North Austin / LSSI","1500 N Mason Ave ",2371930,"Child Care","EXTENDED DAY"
" Marcy Newberry Association - New Birth","1500 W 69th St ",4710699,"Child Care","EXTENDED DAY"
" Chicago Youth Centers - Mt. Moriah-Taylor / CYC","1501 N Harding Ave ",2785837,"Child Care","EXTENDED DAY"
" Marcy Newberry Association - Marcy Center","1539 S Springfield Ave ",7612300,"Child Care","EXTENDED DAY"
" Marcy Newberry Association - Marcy Center","1539 S Springfield Ave ",7612300,"Child Care","EXTENDED DAY"
