Id,Source,Site name,Address,Zip Code,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
1328,IDHS_child_care_provider_list.csv," Bloomington Day Care Center, Inc.","2708 East Lincoln Street, Bloomington",61704,6615600,"(309)
662-4202",,,8307-7891-7433-008,,,,,,,,,,,,,,,,,,,,,,
1329,IDHS_child_care_provider_list.csv," Carole Robertson Center
for Learning",2020 West Roosevelt Road,60608,2437300,"(312)
243-1087",,,6391-8286-5433-002,,,,,,,,,,,,,,,,,,,,,,
1330,IDHS_child_care_provider_list.csv, Casa Central,1343 North California Avenue,60622,6452368,"(773)
645-1432",,,5672-5795-5433-005,,,,,,,,,,,,,,,,,,,,,,
1331,IDHS_child_care_provider_list.csv," Chicago Urban Day
School",1248 West 69th Street Chicago,60636,4833555,"(773)
483-0150",,,3398-4665-5433-003,,,,,,,,,,,,,,,,,,,,,,
1332,IDHS_child_care_provider_list.csv, ChildServ,8765 West Higgins Road Suite 450,60631,8677308,"(773)
693-0322",,,2935-8342-5433-002,,,,,,,,,,,,,,,,,,,,,,
1333,IDHS_child_care_provider_list.csv," Child Care Center
of Evanston",1840 Asbury Avenue Evanston,60201,8692680,"(847)
869-2687",,,0305-2980-5433-002,,,,,,,,,,,,,,,,,,,,,,
1334,IDHS_child_care_provider_list.csv," Childcare Network
of Evanston","1416 Lake Street,
Evanston",60201,4752661,"(847)
475-2699",,,7767-4532-7633-003,,,,,,,,,,,,,,,,,,,,,,
1335,IDHS_child_care_provider_list.csv," Children's Center
of Tazewell County",210 North Thorncrest Drive Creve Coeur,61610,6996141,"(309)
699-5147",,,1281-8212-7433-003,,,,,,,,,,,,,,,,,,,,,,
1336,IDHS_child_care_provider_list.csv, Children's Home & Aid Society of Illinois,125 South Wacker Drive 14th Floor,60606,4240200,"(312)
424-6200",,,4277-4401-5433-006,,,,,,,,,,,,,,,,,,,,,,
1337,IDHS_child_care_provider_list.csv, Community Coordinated Child Care,"155 North 3rd Street
Suite 300
DeKalb",60115,7588149,(815) 758-5652,,,3156-6336-5433-009,,,,,,,,,,,,,,,,,,,,,,
1338,IDHS_child_care_provider_list.csv, Community Mennonite,3215 West 162nd Street Markham,60428,3331232,"(708)
333-1248",,,9237-3517-0633-007,,,,,,,,,,,,,,,,,,,,,,
1339,IDHS_child_care_provider_list.csv, East Moline Citizens for Comm. Center,"489-27th Street, East Moline",61244,7555031,"(309)
755-5036",,,2987-4157-5433-004,,,,,,,,,,,,,,,,,,,,,,
1340,IDHS_child_care_provider_list.csv," Educational
Day Care Center",330 West Michigan Avenue Jacksonville,62650,2435720,"(217)
243-5385",,,6813-5632-7433-006,,,,,,,,,,,,,,,,,,,,,,
1341,IDHS_child_care_provider_list.csv, Ezzard Charles,7946 South Ashland,60620,4870227,"(773)
487-0044",,,6525-2857-5433-002,,,,,,,,,,,,,,,,,,,,,,
1342,IDHS_child_care_provider_list.csv," First Step
Day¬†Care Center","1300 Pearl Street
Belvidere",6100,5446560,"(815)
544-6560",,,6896-1416-5433-006,,,,,,,,,,,,,,,,,,,,,,
1343,IDHS_child_care_provider_list.csv," Geneseo Development
& Growth, Inc.","541 East North Street
P.O. Box 172
Geneseo",61254,9445024,"(309)
945-4103",,,2596-3557-5433-004,,,,,,,,,,,,,,,,,,,,,,
1344,IDHS_child_care_provider_list.csv," Highland Park Comm. Nursery School
& Day Care Center","1850 Green Bay Road
Highland Park",60035,4323301,"(847)
432-3308",,,2592-0023-5433-000,,,,,,,,,,,,,,,,,,,,,,
1345,IDHS_child_care_provider_list.csv, Human Development Corporation,"142 East 154th Street
Harvey",60426,3394449,"(708)
339-8513",,,1316-0598-5433-003,,,,,,,,,,,,,,,,,,,,,,
1346,IDHS_child_care_provider_list.csv," Improved Child Care
Mgt. Services, Inc.","520 North Halsted Street Suite 412
Chicago",60642,7370231,"(773)
737-7009",,,7483-8223-6433-005,,,,,,,,,,,,,,,,,,,,,,
1347,IDHS_child_care_provider_list.csv," Just Kids Child Care, Inc.","1800 West¬†1st Street
¬†P.O. Box 410
Mlian",61264,7876303,"(309)
787-6375",,,1640-4249-5433-009,,,,,,,,,,,,,,,,,,,,,,
1348,IDHS_child_care_provider_list.csv, Kiddie Kollege of Fairfield,"2226 Mt. Vernon Road
P.O. Box 362
Fairfield",62837,8477102,"(618)
847-7212",,,3125-2563-7433-009,,,,,,,,,,,,,,,,,,,,,,
1349,IDHS_child_care_provider_list.csv, Marillac Social Center,212 South Francisco Street,60612,5843232,"(773)
722-1469",,,0350-8270-5433-000,,,,,,,,,,,,,,,,,,,,,,
1350,IDHS_child_care_provider_list.csv, Mary Crane League,2974 North Clybourn Avenue,60618,9388157,"(773)
325-2530",,,9356-4723-5433-005,,,,,,,,,,,,,,,,,,,,,,
1351,IDHS_child_care_provider_list.csv, McDonough County Council for Child Development DBA Wee Care Macomb,425 North Prairie Avenue Macomb,61455,8335267,"(309)
837-5751",,,3316-0591-7433-001,,,,,,,,,,,,,,,,,,,,,,
1352,IDHS_child_care_provider_list.csv," Northwest Suburban
Day Care Center","1755 Howard Street
DesPlaines",60018,2995103,"(847)
299-1070",,,4955-5565-5433-000,,,,,,,,,,,,,,,,,,,,,,
1353,IDHS_child_care_provider_list.csv, Northwestern University Settlement,1400 West Augusta Blvd.,60642,2787471,"(773)
278-7536",,,5701-4911-5433-005,,,,,,,,,,,,,,,,,,,,,,
1354,IDHS_child_care_provider_list.csv," Oak Park/River Forest
Day Nursery","1139 Randolph Steet
Oak Park",60302,3838211,"(708)
383-0692",,,9300-0813-5433-003,,,,,,,,,,,,,,,,,,,,,,
1355,IDHS_child_care_provider_list.csv, One Hope United,"P.O. Box 1128
Lake Villa",60046,2456559,"(847)
245-6715",,,8581-4703-5433-004,,,,,,,,,,,,,,,,,,,,,,
