Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
2866,NAEYC_accreditation.csv, ABC & Me DayCare Center,1100 West Lawrence Ave  ,60640,5614488,,,,,,,,,,,,,,,,,,,,,,12/31/13,461353,abcandmedaycare@sbcglobal.net,,
2867,NAEYC_accreditation.csv," Academy of Saint Benedict the African, Laflin Campus",6020 South Laflin  ,60636,7763316,,,,,,,,,,,,,,,,,,http://www.academystbenedict.org,,,,08/01/16,307193,pmurphy@archchicago.org,,
2868,NAEYC_accreditation.csv, Albany Park Community Center,3401 West Ainslie  ,60625,5395907,,,,,,,,,,,,,,,,,,http://www.apcc-chgo.org,,,,09/30/12,415663,wthompson@apcc-chgo.org,,
2869,NAEYC_accreditation.csv, Albany Park Community Center - Lincoln Square,4754 N. Leavitt Street  ,60625,2713851,,,,,,,,,,,,,,,,,,http://www.apcc-chgo.org,,,,01/31/13,486800,rsajous@apcc-chgo.org,,
2870,NAEYC_accreditation.csv, Albany Park Community Center - Uptown,1020 West Bryn Mawr 211 ,60660,7693197,,,,,,,,,,,,,,,,,,http://www.apcc.org,,,,01/31/13,486804,mabarca@apcc-chgo.org,,
2871,NAEYC_accreditation.csv, Albany Park Head Start,5101 N. Kimball  ,60625,5095657,,,,,,,,,,,,,,,,,,http://www.apcc-chgo.org,,,,12/31/12,486881,,,
2872,NAEYC_accreditation.csv," All Aboard... Learning Express, Inc.",4008 W. Rosemont  ,60646,2020554,,,,,,,,,,,,,,,,,,,,,,07/01/15,595216,allaboardlearningexpress@yahoo.com,,
2873,NAEYC_accreditation.csv, Alphonsus Academy & Center for the Arts,1439 West Wellington  ,60657,3484629,,,,,,,,,,,,,,,,,,http://www.alphonsusacademy.org,,,,01/31/13,338338,mstanton@alphonsusacademy.org,,
2874,NAEYC_accreditation.csv, Belmont Cragin Early Childhood Center,6041 W. Diversey Avenue  ,60639,5343318,,,,,,,,,,,,,,,,,,,,,,08/01/16,723729,mmoya-leanga@cps.edu,,
2875,NAEYC_accreditation.csv, Bridgeport Child Development Center,3053 South Normal Avenue  ,60616,8425566,,,,,,,,,,,,,,,,,,http://www.onehopeunited.org,,,,09/01/15,191594,twarner@onehopeunited.org,,
2876,NAEYC_accreditation.csv, Bridgeport Child Development Center II,514 W. 31st Street  ,60616,9494015,,,,,,,,,,,,,,,,,,http://www.onehopeunited.org,,,,10/01/15,725011,bdavis@onehopeunited.org,,
2877,NAEYC_accreditation.csv, Bright Horizons at River East,325 East Grand Avenue  ,60611,9265437,,,,,,,,,,,,,,,,,,http://centers.brighthorizons.com/northwestern,,,,08/31/13,339670,kshackel@nmh.org,,
