Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
3018,purple_binder_early_childhood.csv, A Karrasel Nursery School & Kindergarten,3030 N Kedzie Avenue ,60618,4636151,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3019,purple_binder_early_childhood.csv, A Step Ahead Day Care Center,4208 N Broadway Street 10 ,60612,4048664,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3020,purple_binder_early_childhood.csv, ABC & Me Day Care Center,1100 W Lawrence Avenue ,60640,5614488,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3021,purple_binder_early_childhood.csv, ABC Academy,2714 W Pratt Boulevard ,60645,3381033,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3022,purple_binder_early_childhood.csv, ABLA Child Development Center,1342 S Racine Avenue ,60608,7335992,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3023,purple_binder_early_childhood.csv, Abraham Lincoln Centre,7239 S Dobson Avenue ,60619,4934496,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3024,purple_binder_early_childhood.csv, Abraham Lincoln Centre,5659 S Union Avenue ,60621,7832828,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3025,purple_binder_early_childhood.csv, Abraham Lincoln Centre,7 E 119th Street ,60628,2647633,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3026,purple_binder_early_childhood.csv, Abraham Lincoln Centre,1354 W 61st Street ,60636,4715100,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3027,purple_binder_early_childhood.csv, Abraham Lincoln Centre,3858 S Cottage Grove Avenue ,60653,3736600,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3028,purple_binder_early_childhood.csv, Abraham Lincoln Centre - Berkley Center,4210 S Berkeley Avenue ,60653,4513360,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3029,purple_binder_early_childhood.csv, Abraham Lincoln Centre - Lincoln/King,4314 S Cottage Grove Avenue ,60653,7472310,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3030,purple_binder_early_childhood.csv, Accounters Community Center,1155 W 81st Street ,60620,9945514,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3031,purple_binder_early_childhood.csv, Ada S. McKinley Community Services,725 S Wells Street ,60607,3852000,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3032,purple_binder_early_childhood.csv, Ada S. McKinley Community Services,4543 S Princeton Avenue ,60609,6249799,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3033,purple_binder_early_childhood.csv, Ada S. McKinley Community Services,2647 E 88th Street ,60617,3751999,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3034,purple_binder_early_childhood.csv, Ada S. McKinley Community Services - Ersula Howard,7222 S Exchange Avenue ,60649,2219711,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3035,purple_binder_early_childhood.csv, Ada S. McKinley Community Services - Maggie Drummond,4301 S Wabash ,60653,3738200,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3036,purple_binder_early_childhood.csv, Ada S. McKinley Community Services - Roseland,11410 S Edbrooke Avenue ,60628,4681918,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3037,purple_binder_early_childhood.csv, Ada S. McKinley Community Services - Wright Renaissance,7939 S Western Avenue ,60620,4768805,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3038,purple_binder_early_childhood.csv, Ada S. McKinley Services - McKinley - Trumbull,10530 S Oglesby Avenue ,60617,3757022,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3039,purple_binder_early_childhood.csv, Albany Park Community Center,3403 W Lawrence Avenue ,60625,4333204,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3040,purple_binder_early_childhood.csv, Albany Park Community Center - Ainslie,3401 W Ainslie Street ,60625,5395907,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3041,purple_binder_early_childhood.csv, Albany Park Community Center - Kimball,5121 N Kimball Avenue ,60625,5095650,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3042,purple_binder_early_childhood.csv, All Nations Development Center,8435 S Stony Island Avenue ,60617,3757000,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3043,purple_binder_early_childhood.csv, Appeal for Charities Ebenezer,7058 S LaFayette Avenue ,60621,6515400,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3044,purple_binder_early_childhood.csv, Appeal for Charities Emmanuel,50 W 71st Street ,60621,6515400,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
