Location,TARP Connection,Owner,NPDES Permit #,Outfall #,Size,Waterway,Monitored or Unmonitored
130th St (E),CDS-14,Chicago,IL0045012,211,5.5',LCalR,M
14th St (E),DS-M45,Chicago,IL0045012,143,8' x 6.75',SBCR,M
14th St (W),DS-M46,Chicago,IL0045012,141,4',SBCR,U
15th St (E),DS-M44,Chicago,IL0045012,144,3',SBCR,U
16th St (E),I-25,Chicago,IL0045012,146,3',SBCR,U
16th St (W),DS-M43,Chicago,IL0045012,145,4',SBCR,U
18th St (E),I-24,Chicago,IL0045012,148,3',SBCR,U
18th St (W),DS-M42,Chicago,IL0045012,147,4',SBCR,U
19th St (E),I-23,Chicago,IL0045012,149,3',SBCR,U
31st St (E),DS-M31,Chicago,IL0045012,193,5',SFSBCR,U
35th St (E),I-119,Chicago,IL0045012,195,4.5',SFSBCR,U
35th St. (W),DS-M30,Chicago,IL0045012,194,6.5',SFSBCR,M
37th St (E),I-118,Chicago,IL0045012,197,2',SFSBCR,U
37th St (W),I-117,Chicago,IL0045012,196,3',SFSBCR,U
6872 Touhy Ave  (Franks &amp; Nieman) (W),DS-N13R,Niles / Chicago,ILM580035 / IL0045012,008 / 236,5',NBCR,M
Adams St (E),I-39,Chicago,IL0045012,128,3',SBCR,U
Addison St (Inside ComEd's property) (E),DS-M85,Chicago,IL0045012,61,12' x 9.58',NBCR,M
Addison St (W),I-76,Chicago,IL0045012,62,5.5',NBCR,U
Agatite Ave (E),I-79A,Chicago,IL0045012,50,1',NBCR,U
Albany Ave (N),TG-I12,Chicago,IL0045012,178,9',CC,M
Archer Ave (E),DS-M31,Chicago,IL0045012,192,3',SFSBCR,U
Archer Ave (W),DS-M32,Chicago,IL0045012,191,3',SFSBCR,U
Ardmore Ave (E),TG-M94,Chicago,IL0045012,10,7' x 5.6',NSC,M
Ardmore Ave (Indian &amp; Ardmore)  (W),DS-N06,Chicago,IL0045012,234,2' &amp; 2.5',NBCR,M
Ardmore Ave (W),I-92,Chicago,IL0045012,9,2.75',NSC,U
Argyle St (W),I-88,Chicago,IL0045012,40,6',NBCR,U
